Time on 05 Jun 2021,S4_Humidity,S4_Temperature
16:54:16,26.3,98.4
16:54:24,26.4,98.2
16:54:32,26.4,98.4
16:54:38,26.4,98.2
16:54:46,26.4,98.2
16:54:54,26.3,98.2
16:55:00,26.4,98.2
16:55:05,26.5,98.1
16:55:13,26.5,98.1
16:55:19,26.6,98.1
16:55:24,26.5,98.1
16:55:37,26.6,98.1
16:55:50,26.7,98.1
16:55:56,26.6,98.2
16:56:04,26.6,98.2
16:56:10,26.6,98.2
16:56:18,26.6,98.2
16:56:23,26.5,98.2
16:56:41,26.6,98.4
16:56:49,26.7,98.4
16:56:55,26.6,98.6
16:57:03,26.5,98.8
16:57:08,26.3,99
16:57:17,26.2,99
16:57:22,26.1,99
16:57:30,26,99
16:57:41,26,99
16:57:46,26.1,99
16:57:52,26.1,99
16:57:57,26.2,99
16:58:24,25.8,99.1
16:58:42,25.7,99.1
16:58:47,25.7,99
16:58:55,25.8,99
16:59:03,25.8,99
16:59:09,25.7,99
16:59:14,25.9,99
16:59:20,26,98.8
16:59:28,25.9,99
16:59:34,25.9,98.8
16:59:39,26,98.8
16:59:45,26,98.8
16:59:50,26,98.8
16:59:56,26.2,98.6
17:00:01,26.3,98.6
17:00:07,26.4,98.8
17:00:38,26.4,98.8
17:00:43,26.1,99
17:00:59,26.1,98.8
17:01:07,26,99
17:01:12,25.9,99
17:01:18,25.9,99
17:01:23,25.9,98.8
17:01:34,26,99
17:01:55,26,99
17:02:08,25.9,99
17:02:13,25.9,98.8
17:02:21,25.9,99
17:02:27,26.1,99
17:02:32,26,98.8
17:02:40,26,98.8
17:02:46,26.1,98.6
17:02:52,26.1,98.6
17:02:57,26.1,98.6
17:03:03,26,98.6
17:03:08,26.1,98.6
17:03:19,26.2,98.6
17:03:24,26.1,98.6
17:03:30,26.3,98.6
17:03:40,26.2,98.6
17:03:46,26.2,98.6
17:03:54,26.2,98.6
17:04:05,26.2,98.6
17:04:10,26.2,98.6
17:04:16,26.1,98.6
17:04:21,26.1,98.6
17:04:27,26.1,98.6
17:04:32,26.2,98.6
17:04:45,26.2,98.6
17:04:51,26.2,98.6
17:04:59,26.2,98.8
17:05:04,26.2,98.8
17:05:13,26.2,98.8
17:05:18,26.1,99
17:05:24,26.1,99
17:05:29,26,99
17:05:35,26.2,99
17:05:43,26.2,99
17:05:48,26.1,99
17:05:54,26.1,99
17:05:59,26,99.1
17:06:07,26,99.1
17:06:13,25.9,99.1
17:06:18,25.9,99.1
17:06:24,25.9,99.1
17:06:29,26,99.1
17:06:38,26,99.1
17:06:43,26,99.3
17:06:59,26,99.3
17:07:07,25.9,99.3
17:07:15,25.9,99.3
17:07:20,25.8,99.3
17:07:26,25.7,99.3
17:07:31,25.8,99.5
17:07:37,25.9,99.5
17:07:43,25.9,99.5
17:07:48,25.8,99.5
17:07:56,25.8,99.5
17:08:04,25.9,99.7
17:08:10,25.9,99.5
17:08:18,25.8,99.5
17:08:26,25.9,99.7
17:08:39,25.8,99.7
17:08:47,25.8,99.9
17:08:53,25.7,99.7
17:08:58,25.8,99.7
17:09:16,25.7,99.7
17:09:22,25.7,99.7
17:09:30,25.8,99.7
17:09:35,25.8,99.7
17:09:41,25.8,99.7
17:09:49,25.7,99.7
17:09:54,25.7,99.9
17:10:00,25.7,99.9
17:10:06,25.8,99.9
17:10:16,25.9,99.9
17:10:24,25.9,99.9
17:10:30,25.8,99.9
17:10:38,25.7,99.9
17:10:48,25.7,99.9
17:10:54,25.7,99.9
