Time on 15 Jun 2021,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
16:16:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:22:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:22:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:22:45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:22:50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:23:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:23:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:23:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:24:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:24:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:24:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:24:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:25:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:25:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:25:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:25:45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:25:50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:26:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:26:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:26:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:27:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:27:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:27:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:27:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:29:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:29:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:29:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:31:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:31:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:31:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:31:45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:31:50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:32:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:32:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:32:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:33:05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:33:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:33:20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:33:35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:33:50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:34:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:34:25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16:34:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:35:20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:35:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:36:05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:38:25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:38:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:39:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:42:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:45:06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:45:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:47:11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:47:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:51:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:56:16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:56:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:57:21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:57:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:01:56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:02:01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17:02:11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17:03:01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17:03:11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:03:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
