0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
17:54:41,52.0,70.7,53.6,70.3,52.8,70.7,52.8,70.5,54.1,70.7,54.2,70.3,53.0,70.3,52.9,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:54:43,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:54:43,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:54:43,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:54:43,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:54:48,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:55:11,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:55:33,51.5,71.4,53.9,70.3,52.7,70.5,52.8,70.5,54.3,70.7,54.2,70.3,53.1,70.3,53.0,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:55:38,51.5,71.4,54.0,70.3,52.9,70.7,53.0,70.5,54.3,70.7,54.1,70.5,53.2,70.3,53.0,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:55:43,51.5,71.4,54.0,70.3,52.9,70.7,53.0,70.5,54.3,70.7,54.1,70.5,53.2,70.3,53.0,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:01,51.5,71.4,54.0,70.3,52.9,70.7,53.0,70.5,54.3,70.7,54.1,70.5,53.2,70.3,53.0,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:18,51.4,71.6,54.3,70.5,52.9,70.7,53.1,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:23,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:28,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:38,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17:56:43,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:56:45,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:57:05,51.0,72.3,54.4,70.5,53.1,70.7,53.6,70.5,54.5,70.7,54.1,70.5,53.2,70.5,53.3,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:57:08,51.0,72.3,54.7,70.5,53.2,70.9,53.6,70.5,54.6,70.9,54.1,70.7,53.2,70.7,53.3,70.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:57:33,51.0,72.3,54.7,70.5,53.2,70.9,53.6,70.5,54.6,70.9,54.1,70.7,53.2,70.7,53.3,70.9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17:57:35,51.0,72.3,54.7,70.5,53.2,70.9,53.6,70.5,54.6,70.9,54.1,70.7,53.2,70.7,53.3,70.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:57:38,51.0,72.5,54.9,70.7,53.3,70.7,53.9,70.5,54.6,70.9,54.1,70.7,53.2,70.9,53.4,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:58:05,51.0,72.5,54.9,70.7,53.3,70.7,53.9,70.5,54.6,70.9,54.1,70.7,53.2,70.9,53.4,71.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17:58:22,50.8,72.9,55.1,70.7,53.3,70.9,54.1,70.5,54.7,70.9,54.1,70.7,53.3,70.9,53.4,71.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17:58:48,50.9,73.0,55.5,70.9,53.4,70.9,54.1,70.5,54.7,70.9,54.2,70.9,53.3,71.1,53.7,71.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17:58:50,50.9,73.0,55.5,70.9,53.4,70.9,54.1,70.5,54.7,70.9,54.2,70.9,53.3,71.1,53.7,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:58:53,50.9,73.0,55.5,70.9,53.7,70.9,54.3,70.5,54.8,71.1,54.3,71.1,53.3,71.1,53.7,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:15,50.9,73.0,55.5,70.9,53.7,70.9,54.3,70.5,54.8,71.1,54.3,71.1,53.3,71.1,53.7,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:23,50.8,73.2,55.6,70.9,53.7,70.9,54.6,70.5,54.9,71.1,54.2,71.2,53.4,71.2,53.8,71.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:44,50.8,73.2,55.6,70.9,53.7,70.9,54.6,70.5,54.9,71.1,54.2,71.2,53.4,71.2,53.8,71.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17:59:53,50.8,73.4,55.8,70.9,53.8,70.9,54.7,70.7,54.9,71.1,54.2,71.2,53.4,71.2,53.9,71.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
