Time,Temp (F),Humidity (%)
0:53:00,39,65
1:53:00,42,70
2:53:00,36,79
3:53:00,34,89
4:53:00,32,92
5:53:00,33,89
6:53:00,33,92
7:53:00,31,92
8:53:00,33,89
9:53:00,38,93
10:53:00,40,77
11:53:00,41,70
12:53:00,46,58
13:53:00,46,58
14:53:00,49,52
15:53:00,49,44
16:53:00,49,46
17:53:00,47,50
18:53:00,47,50
19:53:00,46,51
20:53:00,44,55
21:53:00,41,60
22:53:00,41,53
23:53:00,40,58
