Time on 07 Jun 2021,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
13:28:55,57,73.4,62,73.4,55,71.6,60,69.8,55,75.2,57,69.8,-1,51.8,62,69.8
13:29:23,62,69.8,62,73.4,57,69.8,57,69.8,55,75.2,57,69.8,59,69.8,62,69.8
13:29:42,62,69.8,62,73.4,54,69.8,60,69.8,,,,,,,,
